FILE                                           	SEEING	
ATLAS_32p3_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.91  	
ATLAS_32p5_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.10  	
ATLAS_32p5_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.06  	
ATLAS_32p7_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.48  	
ATLAS_32p8_m29p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.80  	
ATLAS_330p0_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.94  	
ATLAS_330p2_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.98  	
ATLAS_330p3_m35p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.83  	
ATLAS_330p4_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.83  	
ATLAS_330p5_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.83  	
ATLAS_330p7_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.84  	
ATLAS_330p7_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.85  	
ATLAS_330p9_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.87  	
ATLAS_331p0_m31p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.74  	
ATLAS_331p1_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.87  	
ATLAS_331p4_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.98  	
ATLAS_331p5_m35p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.83  	
ATLAS_331p6_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.81  	
ATLAS_331p6_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.80  	
ATLAS_331p8_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.97  	
ATLAS_331p9_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.91  	
ATLAS_332p1_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.84  	
ATLAS_332p2_m31p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.83  	
ATLAS_332p3_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.96  	
ATLAS_332p5_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits	1.04  	
ATLAS_332p7_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.85  	
ATLAS_332p7_m35p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.85  	
